Code,Name,Latitude,Longitude,Google Place ID
36,Banten,-6.4058172,106.0640179,ChIJmbkNxNaKQS4R6bMai6ua074
34,Daerah Istimewa Yogyakarta,-7.8753849,110.4262088,ChIJxWtbvYdXei4R8LPIyrKSG20
31,DKI Jakarta,-6.1944491,106.8229198,ChIJnUvjRenzaS4RoobX2g-_cVM
32,Jawa Barat,-7.090911,107.668887,ChIJf0dSgjnmaC4Rfp2O_FSkGLw
33,Jawa Tengah,-7.150975,110.1402594,ChIJ3RjVnJt1ZS4RRrztj53Rd8M
35,Jawa Timur,-7.5360639,112.2384017,ChIJxbXun_eToy0RULh8yvsLAwE
51,Bali,-8.4095178,115.188916,ChIJoQ8Q6NNB0S0RkOYkS7EPkSQ
