Code,Name,Latitude,Longitude,Google Place ID
31.01,Kab. Adm. Kep. Seribu,-5.7392014,106.5996686,ChIJH2KW04zWQS4Rs3LfZhyHbqA
31.73,Kota Adm. Jakarta Barat,-6.1674309,106.7637239,ChIJGdcQ0cn3aS4RoLjULejFAAM
31.71,Kota Adm. Jakarta Pusat,-6.1876883,106.8162264,ChIJadFZOJ32aS4RMt3mz9UdLvA
31.74,Kota Adm. Jakarta Selatan,-6.2369931,106.8153813,ChIJMZwvyV_xaS4Ru3kfxqlZRwo
31.75,Kota Adm. Jakarta Timur,-6.1805113,106.8283831,ChIJB0vJuDb0aS4R9oJ8iznVpm4
31.72,Kota Adm. Jakarta Utara,-6.1480576,106.8997565,ChIJ1S8TsYr1aS4RJzs_yKb1IyY
