Code,Name,Latitude,Longitude,Google Place ID
36.02,Kab. Lebak,-6.5643956,106.2522143,ChIJ59Ui6HBoQi4RELoo_PHoAQM
36.01,Kab. Pandeglang,-6.7482706,105.6881788,ChIJ56oAUl62Qy4RwLgo_PHoAQM
36.04,Kab. Serang,-6.1397339,106.040506,ChIJvzlvWA-LQS4Rc9G9fsWrJ5s
36.03,Kab. Tangerang,-6.1870007,106.487658,ChIJ43qtsLb_aS4RsLn-FG1XAQM
36.72,Kota Cilegon,-6.0186817,106.0558218,ChIJQw_kxRKOQS4RsIDE_mHI9O8
36.73,Kota Serang,-6.1169309,106.1538519,ChIJYUpTuw2LQS4R0Lgo_PHoAQM
36.71,Kota Tangerang,-6.1701796,106.6403236,ChIJjePSU-j4aS4RwLn-FG1XAQM
36.74,Kota Tangerang Selatan,-6.2835218,106.7112933,ChIJlcAZBLH6aS4R5K9KLBxIBoc
